openAlex_id,doi,title,publication_year,asset_id,has_assetId
https://openalex.org/W2978291699,https://doi.org/10.1103/physrevd.101.012002,"Combined measurements of Higgs boson production and decay using up to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mn>80</mml:mn><mml:mtext> </mml:mtext><mml:mtext> </mml:mtext><mml:msup><mml:mrow><mml:mi>fb</mml:mi></mml:mrow><mml:mrow><mml:mo>−</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:msup></mml:mrow></mml:math> of proton-proton collision data at <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msqrt><mml:mi>s</mml:mi></mml:msqrt><mml:mo>=</mml:mo><mml:mn>13</mml:mn><mml:mtext> </mml:mtext><mml:mtext> </mml:mtext><mml:mi>TeV</mml:mi></mml:math> collected with the ATLAS experiment",2020,,False
https://openalex.org/W3092393555,https://doi.org/10.1136/bmjgh-2020-003188,Community engagement for COVID-19 prevention and control: a rapid evidence synthesis,2020,,False
https://openalex.org/W2789935103,https://doi.org/10.1038/s41593-018-0076-6,Memory formation depends on both synapse-specific modifications of synaptic strength and cell-specific increases in excitability,2018,,False
https://openalex.org/W2967792071,https://doi.org/10.1088/1748-0221/14/12/p12006,Electron and photon performance measurements with the ATLAS detector using the 2015–2017 LHC proton-proton collision data,2019,,False
https://openalex.org/W2788035610,https://doi.org/10.1038/nprot.2017.152,Generation of human brain region–specific organoids using a miniaturized spinning bioreactor,2018,,False
https://openalex.org/W2894705087,https://doi.org/10.1103/physrevd.99.123505,Dark Energy Survey year 1 results: Constraints on extended cosmological models from galaxy clustering and weak lensing,2019,,False
https://openalex.org/W3005469082,https://doi.org/10.1038/s41588-019-0576-7,"Comprehensive analysis of chromothripsis in 2,658 human cancers using whole-genome sequencing",2020,,False
https://openalex.org/W3009171047,https://doi.org/10.1140/epjqt/s40507-020-0080-0,AEDGE: Atomic Experiment for Dark Matter and Gravity Exploration in Space,2020,,False
https://openalex.org/W3090105583,https://doi.org/10.1377/hlthaff.2020.00735,Racial And Ethnic Inequities In Children’s Neighborhoods: Evidence From The New Child Opportunity Index 2.0,2020,9924023478201921,True
https://openalex.org/W3128418106,https://doi.org/10.1377/hlthaff.2020.01452,Physicians’ Perceptions Of People With Disability And Their Health Care,2021,9924038133501921,True
https://openalex.org/W2964331590,https://doi.org/10.15252/embj.2018100836,"Past, present, and future of circ <scp>RNA</scp> s",2019,9924103476601921,True
https://openalex.org/W3004584205,https://doi.org/10.1038/s41586-019-1913-9,Patterns of somatic structural variation in human cancer genomes,2020,9923958264601921,True
https://openalex.org/W3093951335,https://doi.org/10.1136/bmjgh-2020-004206,Social media and vaccine hesitancy,2020,9924086786101921,True
https://openalex.org/W4388627063,https://doi.org/10.1038/s41586-023-06832-9,Predicting multiple conformations via sequence clustering and AlphaFold2,2023,9924382087501921,True
https://openalex.org/W2965771657,https://doi.org/10.1140/epjc/s10052-019-7450-8,ATLAS b-jet identification performance and efficiency measurement with $$t{\bar{t}}$$ events in pp collisions at $$\sqrt{s}=13$$ TeV,2019,,False
https://openalex.org/W2965281435,https://doi.org/10.1016/j.cmet.2019.06.019,Medicine in the Fourth Dimension,2019,9923974383701921,True
https://openalex.org/W4293231014,https://doi.org/10.1038/s43586-022-00144-4,Citizen science in environmental and ecological sciences,2022,9924188181001921,True
https://openalex.org/W2917815849,https://doi.org/10.1038/s41586-019-0953-5,Bacterial cGAS-like enzymes synthesize diverse nucleotide signals,2019,9924103574501921,True
https://openalex.org/W3046615382,https://doi.org/10.1103/physrevlett.126.091101,Constraints on Dark Matter Properties from Observations of Milky Way Satellite Galaxies,2021,,False
https://openalex.org/W3004613412,https://doi.org/10.1038/s41588-019-0564-y,Disruption of chromatin folding domains by somatic genomic rearrangements in human cancer,2020,,False
https://openalex.org/W2970148517,https://doi.org/10.14778/3342263.3342644,Neo,2019,9924086682001921,True
https://openalex.org/W3021803594,https://doi.org/10.1037/amp0000591,Midlife in the 2020s: Opportunities and challenges.,2020,9924086749801921,True
https://openalex.org/W3132847906,https://doi.org/10.1038/s41586-021-03193-z,Loop extrusion as a mechanism for formation of DNA damage repair foci,2021,9923970779301921,True
https://openalex.org/W2974427135,https://doi.org/10.1140/epjc/s10052-019-7500-2,Performance of electron and photon triggers in ATLAS during LHC Run 2,2020,,False
https://openalex.org/W2767671054,https://doi.org/10.1007/jhep01(2018)126,Search for dark matter and other new phenomena in events with an energetic jet and large missing transverse momentum using the ATLAS detector,2018,,False
https://openalex.org/W2972599699,https://doi.org/10.1140/epjc/s10052-019-7594-6,Search for electroweak production of charginos and sleptons decaying into final states with two leptons and missing transverse momentum in $$\sqrt{s}=13$$ $$\text {TeV}$$ pp collisions using the ATLAS detector,2020,,False
https://openalex.org/W2581251167,https://doi.org/10.1140/epjc/s10052-017-5475-4,"Measurement of the W-boson mass in pp collisions at $$\sqrt{s}=7\, \hbox {TeV}$$ s = 7 TeV with the ATLAS detector",2018,,False
